iter	Logloss
0	0.632903714
1	0.574054023
2	0.5236909068
3	0.4855773802
4	0.4524968197
5	0.4221334665
6	0.3933755546
7	0.3653518362
8	0.3408068715
9	0.3216455953
10	0.3014081061
11	0.2852428512
12	0.2716976494
13	0.2573129794
14	0.2465105458
15	0.2374992912
16	0.2266890469
17	0.2177971576
18	0.2092626412
19	0.2012804317
20	0.1950844386
21	0.1893061689
22	0.1838906121
23	0.1787469987
24	0.1737790145
25	0.1686581927
26	0.1643292259
27	0.1608132866
28	0.1577593699
29	0.154407953
30	0.151433147
31	0.1486939122
32	0.1460882847
33	0.1434741543
34	0.1412297058
35	0.1390912554
36	0.1366551108
37	0.1349282613
38	0.1327880293
39	0.1310716259
40	0.1295710618
41	0.1280065477
42	0.1265229688
43	0.1251466803
44	0.123480556
45	0.1224289421
46	0.1213388574
47	0.1203861412
48	0.1192230616
49	0.1181339961
50	0.1172429304
51	0.116548634
52	0.1154506266
53	0.1147005126
54	0.1139282343
55	0.1129512254
56	0.1122856805
57	0.111431357
58	0.1106666768
59	0.110026762
60	0.1093990004
61	0.1087807588
62	0.1082571047
63	0.1075421752
64	0.1067311775
65	0.106107532
66	0.1055643685
67	0.1053136306
68	0.1048601095
69	0.1043753312
70	0.1040084179
71	0.103212203
72	0.1028779874
73	0.1027519705
74	0.1025061532
75	0.1023181517
76	0.1019747193
77	0.1018202346
78	0.1014414525
79	0.1011053255
80	0.1008716404
81	0.1005808329
82	0.1004009959
83	0.09998993907
84	0.09962862091
85	0.09943252049
86	0.09916271886
87	0.09886590831
88	0.09857129287
89	0.09810452459
90	0.09786380067
91	0.0976664013
92	0.09729388591
93	0.09710738157
94	0.09685765137
95	0.09643056457
96	0.09624421265
97	0.09604363477
98	0.09589311561
99	0.09571891762
