iter	Passed	Remaining
0	50	4993
1	51	2506
2	52	1696
3	53	1284
4	54	1038
5	55	872
6	56	754
7	57	665
8	58	594
9	60	540
10	61	493
11	61	454
12	63	421
13	63	392
14	64	368
15	65	344
16	66	325
17	67	308
18	68	293
19	69	279
20	70	266
21	71	254
22	73	244
23	74	234
24	75	225
25	76	216
26	77	208
27	78	200
28	79	193
29	80	187
30	81	180
31	82	174
32	82	168
33	83	162
34	84	157
35	85	152
36	86	148
37	87	143
38	88	139
39	89	134
40	90	130
41	92	127
42	93	123
43	93	119
44	95	116
45	95	112
46	96	109
47	97	106
48	98	102
49	99	99
50	100	96
51	101	93
52	102	91
53	103	88
54	104	85
55	105	83
56	106	80
57	107	78
58	108	75
59	109	73
60	110	70
61	111	68
62	112	66
63	113	63
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	119	51
70	120	49
71	121	47
72	122	45
73	123	43
74	124	41
75	125	39
76	126	37
77	127	35
78	127	34
79	128	32
80	129	30
81	130	28
82	131	26
83	132	25
84	133	23
85	134	21
86	135	20
87	136	18
88	137	17
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	143	7
95	144	6
96	145	4
97	146	2
98	147	1
99	148	0
